#,BRAND,PRODUCT NAME,CATEGORY,RETAIL PRICE (ZAR),SA MARKET PRICE (ZAR),SOURCE PRICE (USD),MAX LANDED COST (ZAR),MARGIN TIER,TARGET GM%,PRICING NOTE,SOURCE URL,DESCRIPTION,INGREDIENTS
19,Mediheal,MEDIHEAL Vita Toning Essence Mask (5 PCs),Sheet Masks,R413.30,—,$10.00,R103.33,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-vita-toning-essence-mask-5-pcs,The Skin Boutique Curates: MEDIHEAL Vita Toning Essence Mask (5 PCs) An intensive anti-aging treatment mask reduces the appearance of fine lines and wrinkles Authentically sourced and independently cu,"Water, Glycerin (Check packaging for full details)"
20,Mediheal,MEDIHEAL Cica Calming Ampoule Mask (10 PCs),Sheet Masks,R454.63,—,$11.00,R113.66,Tier A (Hero),75%,No local comp,https://kiyoko.com/products/mediheal-cica-calming-ampoule-mask-10-pcs,"The Skin Boutique Curates: MEDIHEAL Cica Calming Ampoule Mask (10 PCs) A calming and soothing sheet mask for troubled, irritated skin. Authentically sourced and independently curated by The Skin Bouti","Water, Glycerin (Check packaging for full details)"
21,Mediheal,MEDIHEAL Aqua Soothing Ampoule Mask (10 PCs),Sheet Masks,R454.63,—,$11.00,R136.39,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-aqua-soothing-ampoule-mask-10-pcs,The Skin Boutique Curates: MEDIHEAL Aqua Soothing Ampoule Mask (10 PCs) A moisturizing sheet mask formulated with 4 different types of hyaluronic acid. Authentically sourced and independently curated ,"Water, Glycerin (Check packaging for full details)"
22,Mediheal,MEDIHEAL Vita Clear Ampoule Mask (10 PCs),Sheet Masks,R454.63,—,$11.00,R136.39,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/mediheal-vita-clear-ampoule-mask-10-pcs,"The Skin Boutique Curates: MEDIHEAL Vita Clear Ampoule Mask (10 PCs) A rejuvenating, brightening sheet mask infused with vitamin C derivatives. Authentically sourced and independently curated by The S","Water, Glycerin, Dipropylene Glycol, Chlorphenesin, Polysorbate 80 , Allantoin, Carbomer, Tromethamine, Butylene Glycol, Disodium EDTA, Sodium Ascorbyl Phosphate , Ethylhexylglycerin, Chrysanthemum In"
23,AXIS-Y,AXIS-Y LHA Peel & Fill Pore Balancing Cream (50ml),Cream,R702.61,—,$17.00,R210.78,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/axis-y-lha-peel-fill-pore-balancing-cream-50ml,The Skin Boutique Curates: AXIS-Y LHA Peel & Fill Pore Balancing Cream (50ml) A pore-perfecting cream that gently exfoliates the skin to purify and minimize the appearance of pores. Authentically sour,"Water, Glycerin (Check packaging for full details)"
24,AXIS-Y,AXIS-Y Dark Spot Correcting Glow Cream (50ml),Cream,R702.61,—,$17.00,R210.78,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/axis-y-dark-spot-correcting-glow-cream-50ml,"The Skin Boutique Curates: AXIS-Y Dark Spot Correcting Glow Cream (50ml) Hydrating gel-cream that revitalizes, fortifies and defends the skin. Authentically sourced and independently curated by The Sk","Water, Glycerin, Propanediol, Niacinamide, Butylene Glycol, Alpha-arbutin, Caprylic/Capric Triglyceride, Isohexadecane, Betaine, Ceramide NP, Centella Asiatica Leaf Extract, Adenosine, Sodium Ascorbyl"
25,AXIS-Y,AXIS-Y CALAMINE Pore Control Capsule Serum (50ml),Serum,R371.97,—,$9.00,R111.59,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/axis-y-calamine-pore-control-capsule-serum-50ml,The Skin Boutique Curates: AXIS-Y CALAMINE Pore Control Capsule Serum (50ml) A pore control serum that purifies and improves the appearance of large pores. Authentically sourced and independently cura,"Water, Butylene Glycol, Dipropylene Glycol, 1,2-Hexanediol, Cetyl Ethylhexanoate, Calamine, Bromelain, Iris Versicolor Extract, Hamamelis Virginiana (Witch Hazel) Extract, Sucrose, Mannitol, Zea Mays "
26,Beauty of Joseon,Beauty of Joseon Centella Asiatica Calming Mask (10 pcs),Sheet Masks,R785.27,—,$19.00,R235.58,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/beauty-of-joseon-centella-asiatica-calming-mask-10-pcs-1,"The Skin Boutique Curates: Beauty of Joseon Centella Asiatica Calming Mask (10 pcs) A unique calming Tencel sheet mask designed to soothe, moisturize and deeply hydrate the skin all at once. Authentic","Water, Centella Asiatica Extract, Glycereth-26, Butylene Glycol, Niacinamide, 1,2-Hexanediol, Hydroxyacetophenone, Arginine, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Hydroxyethylcellulose, Carrag"
27,COSRX,COSRX Centella Blemish Cream (30g),Cream,R661.28,—,$16.00,R198.38,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/cosrx-centella-blemish-cream-30g-1,"The Skin Boutique Curates: COSRX Centella Blemish Cream (30g) A mild, soothing jar type cream that soothes and calms irritated skin. Authentically sourced and independently curated by The Skin Boutiqu","Water, Glycerin (Check packaging for full details)"
28,Beauty of Joseon,Beauty of Joseon Calming Serum (30ml),Serum,R702.61,—,$17.00,R210.78,Tier B (Volume),70%,No local comp,https://kiyoko.com/products/beauty-of-joseon-calming-serum-30ml,The Skin Boutique Curates: Beauty of Joseon Calming Serum (30ml) This lightweight Calming Serum works like a charm to soothe irritated skin and restore skin harmony. Authentically sourced and independ,"Camellia Sinensis Leaf Water (50.9%), Artemisia Capillaris Extract, Panthenol, Glycerin, Butylene Glycol, Water, 1,2-hexanediol, Methylpropanediol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromet"
