#,BRAND,PRODUCT NAME,CATEGORY,RETAIL PRICE (ZAR),SA MARKET PRICE (ZAR),SOURCE PRICE (USD),MAX LANDED COST (ZAR),MARGIN TIER,TARGET GM%,PRICING NOTE,SOURCE URL,DESCRIPTION,INGREDIENTS
156,K-SECRET SEOUL 1988,K-SECRET SEOUL 1988 Cream: Snail Mucin 93% + Rice (100ml),Cream,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/ksecret-seoul-1988-cream-snail-mucin-93-rice-100ml,The Skin Boutique Curates: K-SECRET SEOUL 1988 Cream: Snail Mucin 93% + Rice (100ml) A moisturizing cream enriched with 93% snail mucus filtrate and rice extract to revitalize and renew the skin Authe,"Snail Secretion Filtrate (970,0 00ppm), Butylene Glycol, 1,2-Hexanediol, Ethyl Hexanediol, Allantoin, Phenoxyethanol, Sodium Polyacrylate, Sodium Hyaluronate, Carbomer, Ammonium Acryloyldimethyltaurat"
157,Skin1004,SKIN1004 Madagascar Centella Tea-Trica B5 Cream (75ml),Cream,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/skin1004-madagascar-centella-tea-trica-b5-cream-75ml,The Skin Boutique Curates: SKIN1004 Madagascar Centella Tea-Trica B5 Cream (75ml) A moisturizer that perfectly soothes acne-prone and sensitive skin Authentically sourced and independently curated by ,"Water, Glycerin (Check packaging for full details)"
158,Medicube,Medicube Deep Lifting Age-Repair Cream (30ml),Cream,R619.95,—,$15.00,R216.98,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-deep-lifting-age-repair-cream-30ml,The Skin Boutique Curates: Medicube Deep Lifting Age-Repair Cream (30ml) Next generation peptide anti-aging lifting cream. Authentically sourced and independently curated by The Skin Boutique — your t,"Purified Water, Methylpropanediol, *Glycerin, Cyclopentasiloxane, *Butylene Glycol, Hydrogenated Poly(C6-14 Olefin), Dipropylene Glycol, Caprylic/Capric Triglyceride, Panthenol, Niacinamide, *Acetyl H"
159,Medicube,Medicube PDRN Pink Peptide Serum,Serum,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-pdrn-pink-peptide-serum-30ml-2,"The Skin Boutique Curates: Medicube PDRN Pink Peptide Serum Completely change your dull, uneven complexion to clear, glowy skin. Authentically sourced and independently curated by The Skin Boutique — ","Purified water, Glycerin, Dipropylene Glycol, Isopropyl Myristate, Glycereth-26, Niacinamide, 1,2-Hexanediol, Sodium DNA, Butylene Glycol, Polyglycerin-3, Sodium Acrylate/Sodium Acryloyldimethyl Taura"
160,Medicube,Medicube PDRN Pink Exosome Shot Serum 7500 (30ml),Serum,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-pdrn-pink-exosome-shot-serum-7500-30ml,The Skin Boutique Curates: Medicube PDRN Pink Exosome Shot Serum 7500 (30ml) Microneedling in a bottle with to enhance skin vitality and glow Authentically sourced and independently curated by The Ski,"Water, Butylene Glycol, Dipropylene Glycol, Glycerin, Niacinamide, Sodium Polyacrylate, 1,2-Hexanediol, Calcium aluminum borosilicate, Hydrolyzed Sponge, Caprylyl Glycol, Cetearyl Olivate, Phenyl Trim"
161,Medicube,Medicube Zero Pore One Day Peptide Serum (30ml),Serum,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-zero-pore-one-day-serum-30ml,"The Skin Boutique Curates: Medicube Zero Pore One Day Peptide Serum (30ml) Exfoliate, Brighten and Tighten overnight. Authentically sourced and independently curated by The Skin Boutique — your truste","Water(Aqua), Gluconolactone, Methylpropanediol, Glycerin, Propanediol, Tromethamine, Polyglycerin-3, Niacinamide, 1,2-Hexanediol, Citric Acid, Dimethicone, Butylene Glycol, C12-14 Pareth-12, Hydroxyet"
162,Lululun,LULULUN Hydra V Mask,Sheet Masks,R495.96,—,$12.00,R173.59,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/lululun-hydra-v-mask,The Skin Boutique Curates: LULULUN Hydra V Mask Revitalize and nourish with 7 types of herbs and vitamins. Authentically sourced and independently curated by The Skin Boutique — your trusted destinati,"Water, Glycerin, Butylene Glycol, Ascorbyl Glucoside, Myristyl 3-Glyceryl Ascorbate, Ascorbylmethylcarbonyl Pentapeptide-72 Trit-Butyl Tryptophanamide, Bakuchiol, Niacinamide, Panthenol, Centella Asia"
163,TIAM,TIAM Vita B3 Source (40ml),Serum,R661.28,—,$16.00,R231.45,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/tiam-vita-b3-source-40ml,The Skin Boutique Curates: TIAM Vita B3 Source (40ml) A dual-powered serum to prevent melanin production and combat the formation of dark spots Authentically sourced and independently curated by The S,"Water, Niacinamide (10%), Butylene Glycol, Arbutin (2%), Allantoin, Dipotassium Glycyrrhizate, Lindera Erythrocarpa Extract, Cornus Officinalis Fruit Extract, Geranium Thunbergii Extract, Hydroxyethyl"
164,Nacific,NACIFIC Fresh Herb Origin Cream (50ml),Cream,R537.29,—,$13.00,R188.05,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/nacific-fresh-herb-origin-cream-50ml,"The Skin Boutique Curates: NACIFIC Fresh Herb Origin Cream (50ml) Triple layered cream to soothe, boost and lock in hydration. Authentically sourced and independently curated by The Skin Boutique — yo","Anthemis Nobilis Flower Water, Cetyl Ethylhexanoate, Butylene Glycol, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Glyceryl Stearate, Aqua, Niacinamide, Dimethicone, 1,2-Hexanediol, Polys"
165,FREE MOMENT,FREE MOMENT 80% Super Noni Serum (30ml),Serum,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/free-moment-80-super-noni-serum-30ml,The Skin Boutique Curates: FREE MOMENT 80% Super Noni Serum (30ml) A vegan super serum that cares for the skin barrier and enhances overall skin health Authentically sourced and independently curated ,"Morinda Citrifolia Extract, Dipropylene Glycol, Glycerin, Glycereth -26, 1,2- Hexanediol, Water, Brassica Oleracea Acephala Leaf Extract, Borago Officinalis Extract, Centaurea Cyanus Flower Extract, C"
166,Medicube,Medicube PDRN Pink Hyaluronic Moisturizing Cream,Cream,R661.28,—,$16.00,R231.45,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-pdrn-pink-hyaluronic-moisturizing-cream,The Skin Boutique Curates: Medicube PDRN Pink Hyaluronic Moisturizing Cream A moisture-boosting and barrier-protecting cream that ensures concentrated and long-lasting hydration Authentically sourced ,"Purified Water, Glycereth-26, Butylene Glycol, Caprylic/Capric Triglyceride, Cyclopentasiloxane, 1,2-Hexanediol, Niacinamide, Hydrogenated Polydecene, Isononyl Isononanoate, Cetearyl Olivate, Ethylhex"
167,APRILSKIN,APRILSKIN Pink Aloe Mucin Serum (30ml),Serum,R619.95,—,$15.00,R216.98,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/aprilskin-pink-aloe-mucin-serum-30ml,The Skin Boutique Curates: APRILSKIN Pink Aloe Mucin Serum (30ml) A hydrating mucin serum with a non-sticky finish. Authentically sourced and independently curated by The Skin Boutique — your trusted ,"Aloe Barbadensis Leaf Water, Water, Butylene Glycol, 1,2-Hexanediol, Glycerin, Niacinamide, Erythritol, Octyldodeceth-16, Sodium Polyacrylate, Carbomer, Arginine, Panthenol, Allantoin, Ethylhexylglyce"
168,Lululun,LULULUN One Night Rescue Face Mask (5 PCs),Sheet Masks,R661.28,—,$16.00,R231.45,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/lululun-one-night-rescue-face-mask-5-pcs,The Skin Boutique Curates: LULULUN One Night Rescue Face Mask (5 PCs) An overnight intensive care mask for dry and lackluster skin Authentically sourced and independently curated by The Skin Boutique ,"Water, Glycerin (Check packaging for full details)"
169,ITS Skin,ITS SKIN Collagen Nutrition Cream+ (50ml),Cream,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/its-skin-collagen-nutrition-cream-50ml-1,The Skin Boutique Curates: ITS SKIN Collagen Nutrition Cream+ (50ml) A firming and skin tone-correcting cream formulated with collagen and Saussurea Ianiceps extracts. Authentically sourced and indepe,"Water, Glycerin (Check packaging for full details)"
170,iUNIK,iUNIK Beta Glucan Daily Moisture Cream (60ml),Cream,R578.62,—,$14.00,R202.52,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/iunik-beta-glucan-daily-moisture-cream-60ml,The Skin Boutique Curates: iUNIK Beta Glucan Daily Moisture Cream (60ml) A powerfully moisturizing cream featuring Beta-Glucan. Authentically sourced and independently curated by The Skin Boutique — y,"Water, Glycerin (Check packaging for full details)"
171,Medicube,Medicube Collagen Jelly Cream,Cream,R429.00,R399,$15.00,R150.15,Tier C (Long-tail),65%,"Regular R399, currently on sale R339. Priced against regular.",https://kiyoko.com/products/medicube-collagen-jelly-cream-110ml,The Skin Boutique Curates: Medicube Collagen Jelly Cream Viral jelly cream known for its instant Korean Glass Glow effect. Authentically sourced and independently curated by The Skin Boutique — your t,"Water, Propanediol, Dipropylene Glycol, Butylene Glycol, Methylpropanediol, Diethoxyethyl Succinate, Ethoxydiglycol, Ammonium Acryloyldimethyltaurate/Beheneth-25 Methacrylate Crosspolymer, Niacinamide"
172,FREE MOMENT,FREE MOMENT Green Calming Serum Mist (100ml),Serum,R578.62,—,$14.00,R202.52,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/free-moment-green-calming-serum-mist-100ml-1,The Skin Boutique Curates: FREE MOMENT Green Calming Serum Mist (100ml) A vegan oil and serum mist helps quickly soothe and moisturize irritated skin. Authentically sourced and independently curated b,"Water, Hydrogenated Poly(C6-14 Olefin), Butylene Glycol, Isohexadecane, Propanediol, Pentylene Glycol, Niacinamide, Glycerin, Dipropylene Glycol, Sodium Chloride, Caprylyl/Capryl Glucoside, Ethylhexyl"
173,Skin1004,SKIN1004 Madagascar Centella Soothing Cream,Cream,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/skin1004-madagascar-centella-soothing-cream-75ml,The Skin Boutique Curates: SKIN1004 Madagascar Centella Soothing Cream A soothing cream that contains three lipid components of the epidermic layer to help repair the skin barrier. Authentically sourc,"Water, Glycerin (Check packaging for full details)"
174,Skin1004,SKIN1004 Madagascar Centella Probio-Cica Enrich Cream,Cream,R371.97,—,$9.00,R130.19,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/skin1004-madagascar-centella-probio-cica-enrich-cream-50ml,The Skin Boutique Curates: SKIN1004 Madagascar Centella Probio-Cica Enrich Cream A highly concentrated cream with an advanced formula that leaves skin with a silky finish. Authentically sourced and in,"Centella Asiatica Extract, Glycerin, Diglycerin, 1,2-Hexanediol, Butylene Glycol, Niacinamide, Water, Polyglyceryl-3 Distearate, Caprylic/Capric Triglyceride, Neopentyl Glycol Diheptanoate, Isostearyl"
175,Skin1004,SKIN1004 Centella Hyalu Cica Blue Serum (50ml),Serum,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/skin1004-centella-hyalu-cica-blue-serum-50ml,The Skin Boutique Curates: SKIN1004 Centella Hyalu Cica Blue Serum (50ml) A g el-type serum that absorbs quickly and provides deep hydration without stickiness Authentically sourced and independently ,"Purified Water, Centella Asiatica Leaf Water(38%), Butylene Glycol, 1,2-Hexanediol, Niacinamide, Glycerin, Pantolactone, Hibiscus Esculentus Fruit Extract, Sodium Hyaluronate, Hydrolyzed Hyaluronic Ac"
176,Haruharu Wonder,Haruharu Wonder Black Rice 10 Hyaluronic Cream (50ml),Cream,R702.61,—,$17.00,R245.91,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/haruharu-wonder-black-rice-10-hyaluronic-cream-50ml-2,The Skin Boutique Curates: Haruharu Wonder Black Rice 10 Hyaluronic Cream (50ml) A lightweight cream formulated with hyaluronic acid to create a protective barrier against moisture loss from the skin.,"Water, Glycerin (Check packaging for full details)"
177,Skin1004,SKIN1004 Madagascar Centella Cream,Cream,R413.30,—,$10.00,R144.66,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/skin1004-madagascar-centella-cream-30ml-75ml,"The Skin Boutique Curates: SKIN1004 Madagascar Centella Cream A moisturizer that helps calm, hydrate and nourish skin damaged by harmful external environments. Authentically sourced and independently ","Water, Glycerin (Check packaging for full details)"
178,Soon Jung,ETUDE HOUSE Soon Jung 2X Barrier Intensive Cream (60ml),Cream,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/etude-house-soon-jung-2x-barrier-intensive-cream-60ml,The Skin Boutique Curates: ETUDE HOUSE Soon Jung 2X Barrier Intensive Cream (60ml) A rich cream for smooth and soft skin. 2023 Version. Authentically sourced and independently curated by The Skin Bout,"WATER / AQUA / EAU, PROPANEDIOL, PENTAERYTHRITYL TETRAETHYLHEXANOATE, CAPRYLIC/CAPRIC TRIGLYCERIDE, HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL, POLYGLYCERYL-3 METHYLGLUCOSE DISTEARATE, HYDROGENATED VEGETA"
179,Reihaku Hatomugi,Reihaku Hatomugi Milky Cream (300g),Cream,R661.28,—,$16.00,R231.45,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/reihaku-hatomugi-milky-cream-300g,The Skin Boutique Curates: Reihaku Hatomugi Milky Cream (300g) Milky and creamy moisturizer for fresh and clear skin Authentically sourced and independently curated by The Skin Boutique — your trusted,"Water, glycerin, BG, behenyl alcohol, mineral oil, Cetyl Alcohol, dimethicone, sorbitan stearate, polysorbate 60, stearic acid, Coix lacrymal-Jobi ma-yuen seed extract, sodium hyaluronate, carbomer, A"
180,Kikumasamune,KIKUMASAMUNE Japanese Sake Cream (150g),Cream,R702.61,—,$17.00,R245.91,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/kikumasamune-japanese-sake-cream-150g,"The Skin Boutique Curates: KIKUMASAMUNE Japanese Sake Cream (150g) Kikumasamune Japanese Sake Cream is a moisturizer cream made with real Japanese sake, three types of ceramides and four types of amin","Water, Glycerin (Check packaging for full details)"
181,Ishizawa,ISHIZAWA KEANA Nadeshiko Rice Mask,Sheet Masks,R537.29,—,$13.00,R188.05,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/ishizawa-keana-nadeshiko-rice-mask,The Skin Boutique Curates: ISHIZAWA KEANA Nadeshiko Rice Mask A sheet mask soaked in 100% Japanese rice-derived skincare serum that plumps and moisturizes dry skin. Authentically sourced and independe,"Water, Glycerin (Check packaging for full details)"
182,Dr. Althea,Dr.Althea 85% Anastatica Skin Conditioning Toner (250ml),Toner,R785.27,—,$19.00,R274.84,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/dr-althea-85-anastatica-skin-conditioning-toner-250ml,The Skin Boutique Curates: Dr.Althea 85% Anastatica Skin Conditioning Toner (250ml) Revitalize and deeply hydrate with potent water-loving ingredients Authentically sourced and independently curated b,"Water, Glycerin (Check packaging for full details)"
183,Beauty of Joseon,Beauty of Joseon Green Plum Refreshing Toner: AHA + BHA (150ml),Toner,R743.94,—,$18.00,R260.38,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/beauty-of-joseon-green-plum-refreshing-toner-aha-bha-150ml,The Skin Boutique Curates: Beauty of Joseon Green Plum Refreshing Toner: AHA + BHA (150ml) A mild and refreshing daily toner that features low concentrations of AHA and BHA to exfoliate skin without c,"Water, Prunus Mume Fruit Water, Dipropylene Glycol, 1,2-Hexanediol, Tromethamine, Glycolic Acid, Phaseolus Radiatus Seed Extract, Panax Ginseng Root Extract, Oryza Sativa (Rice) Bran Water, Portulaca "
184,COSRX,COSRX Centella Water Alcohol-Free Toner (150ml),Toner,R537.29,—,$13.00,R188.05,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/cosrx-centella-water-alcohol-free-toner-150ml,"The Skin Boutique Curates: COSRX Centella Water Alcohol-Free Toner (150ml) A watery, spray-type toner formulated with Centella Asiatica and mineral water from Jeju Island that soothes and hydrates irr","Water, Glycerin (Check packaging for full details)"
185,Medicube,Medicube Red Acne Succinic Acid Peel (40g),Serum,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-red-acne-succinic-acid-peel-40g,The Skin Boutique Curates: Medicube Red Acne Succinic Acid Peel (40g) A quick 1-minute treatment that fits seamlessly into your morning and evening routine. This peel harnesses succinic acid—a natural,"Water, Glycerin (Check packaging for full details)"
186,Medicube,Medicube Kojic Acid Turmeric Vita Jelly Mist Serum (100ml),Serum,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-kojic-acid-turmeric-vita-jelly-mist-serum,The Skin Boutique Curates: Medicube Kojic Acid Turmeric Vita Jelly Mist Serum (100ml) Experience the best of K-Beauty with Medicube Kojic Acid Turmeric Vita Jelly Mist Serum (100ml) by Medicube — a pr,"Water, Glycerin (Full ingredients list under review)"
187,NIDA,NIDA Youth-Boosting Rice Milky Toner (150ml),Serum,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/nida-youth-boosting-rice-milky-toner-150ml,The Skin Boutique Curates: NIDA Youth-Boosting Rice Milky Toner (150ml) NIDA Youth-Boosting Rice Milky Toner is enriched with nutrient-packed Rice Bran Water to visibly boosts radiance and revitalizes,"Water, Glycerin (Check packaging for full details)"
188,Medicube,Medicube PDRN Pink Collagen Bubble Serum (95ml),Serum,R479.00,R479,$22.00,R167.65,Tier C (Long-tail),65%,Match.,https://kiyoko.com/products/medicube-pdrn-pink-collagen-bubble-serum-95ml,The Skin Boutique Curates: Medicube PDRN Pink Collagen Bubble Serum (95ml) Dual-layered serum combining PDRN serum and PDRN cream. Authentically sourced and independently curated by The Skin Boutique ,"Water (Aqua), Niacinamide, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Hydrogenated Poly (C6-14 Olefin), C12-14 Alketh-12, 1,2-Hexanediol, Propanediol, Isododecane, Ethylhexyl Palmitate, Cetyl E"
189,MEDIPEEL,MEDIPEEL Premium 3.0 Collagen Naite Thread Neck Cream (100ml),Cream,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medipeel-premium-3-0-collagen-naite-thread-neck-cream-100ml,The Skin Boutique Curates: MEDIPEEL Premium 3.0 Collagen Naite Thread Neck Cream (100ml) An innovative peptide cream specially designed for the neck and décolleté Authentically sourced and independent,"Water, Hydrolyzed Collagen, Glycerin, Cetearyl Alcohol, C12-15 Alkyl Benzoate, Cetyl Ethylhexanoate, Cyclohexasiloxane, 1,2-Hexanediol, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Butylene Glycol, Car"
190,MEDIPEEL,MEDIPEEL Retinol Collagen Lifting Cream (50ml),Cream,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medipeel-retinol-collagen-lifting-cream-50ml,The Skin Boutique Curates: MEDIPEEL Retinol Collagen Lifting Cream (50ml) A n advanced anti-aging cream that combats sagging skin with retinol and retinal Authentically sourced and independently curat,"Water, Glycerin, Ethylhexyl Palmitate, Cetyl Ethylhexanoate, Glycereth-26, Dipropylene Glycol, Niacinamide, Butylene Glycol, Palmitic Acid, C14-22 Alcohols, Caprylic/Capric Triglyceride, C12-20 Alkyl "
191,Medicube,Medicube Triple Collagen Serum 4.0 (55ml),Serum,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-triple-collagen-serum-4-0-55ml,"The Skin Boutique Curates: Medicube Triple Collagen Serum 4.0 (55ml) Lightweight serum for plump, glowing glass skin Authentically sourced and independently curated by The Skin Boutique — your trusted","Water(Aqua), Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, Niacinamide, Glycereth-26, Alcohol Denat., 1,2-Hexanediol, Cyclopentasiloxane, Cyclohexasiloxane, Trehalose, Dimethicone, Carbomer, Cetear"
192,IZEZE,IZEZE Black Cumin NDA Pudding Gel Cream (50ml),Cream,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/izeze-black-cumin-nda-pudding-gel-cream-50ml,The Skin Boutique Curates: IZEZE Black Cumin NDA Pudding Gel Cream (50ml) An ultra-cooling and hydrating gel for balance and nourishment Authentically sourced and independently curated by The Skin Bou,"Water, Butylene Glycol, Glycereth-26, Glycerin, Methylpropanediol, 1,2-Hexanediol, Polyglyceryl-3 Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Arginine,"
193,Medicube,Medicube Kojic Acid Turmeric Niacinamide Serum (30ml),Serum,R499.00,R499,$22.00,R174.65,Tier C (Long-tail),65%,Match.,https://kiyoko.com/products/medicube-kojic-acid-turmeric-niacinamide-serum-30ml,The Skin Boutique Curates: Medicube Kojic Acid Turmeric Niacinamide Serum (30ml) Powerful antioxidant serum ideal for after spot care. Authentically sourced and independently curated by The Skin Bouti,"Water (Aqua), Niacinamide, Butylene Glycol, Jojoba Esters, 1,2-hexanediol, Curcuma Longa (Turmeric) Root Extract, Caprylic/capric/succinic Triglyceride, Coco-caprylate/caprate, Kojic Acid, Ammonium Ac"
194,Medicube,Medicube Zero Pore Cream 2.0 (50ml),Cream,R549.00,R559,$24.00,R192.15,Tier C (Long-tail),65%,Slight undercut.,https://kiyoko.com/products/medicube-zero-pore-cream-2-0-50ml,"The Skin Boutique Curates: Medicube Zero Pore Cream 2.0 (50ml) Smooth, tighten, and balance your skin effortlessly Authentically sourced and independently curated by The Skin Boutique — your trusted d","Water, Propanediol, Butylene Glycol, Cetearyl Alcohol, Caprylic/Capric Triglyceride, Camellia Japonica Flower Extract, Dimethicone, 1,2-Hexanediol, Cyclopentasiloxane, Cyclohexasiloxane, Glycolic Acid"
195,Medicube,Medicube Age-R Vita K Refining Cream,Cream,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/medicube-age-r-vita-k-refining-cream-100ml,"The Skin Boutique Curates: Medicube Age-R Vita K Refining Cream Face and body cream to target redness, elasticity and texture. Authentically sourced and independently curated by The Skin Boutique — yo","Water, Glycerin, Methylpropanediol, Niacinamide, Betaine, Isopropyl Palmitate, Cucurbita Pepo (Pumpkin) Fruit Extract, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Arnica Montana Flower E"
196,iUNIK,iUNIK Tea Tree Relief Serum (50ml),Serum,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/iunik-tea-tree-relief-serum-50ml,The Skin Boutique Curates: iUNIK Tea Tree Relief Serum (50ml) A deeply soothing and refreshing serum for sensitive skin. Authentically sourced and independently curated by The Skin Boutique — your tru,"Water, Glycerin (Check packaging for full details)"
197,Haruharu Wonder,Haruharu Wonder Centella Phyto & 5 Peptide Concentrate Cream (30ml),Cream,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/haruharu-wonder-centella-phyto-5-peptide-concentrate-cream-30ml,"The Skin Boutique Curates: Haruharu Wonder Centella Phyto & 5 Peptide Concentrate Cream (30ml) A multifunctional face cream that provides anti-aging, soothing and brightening effects Authentically sou","Water, Glycerin (Check packaging for full details)"
198,Haruharu Wonder,Haruharu Wonder Centella 4% TXA Dark Spot Go Away Serum (30ml),Serum,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/haruharu-wonder-centella-4-txa-dark-spot-go-away-serum-30ml,The Skin Boutique Curates: Haruharu Wonder Centella 4% TXA Dark Spot Go Away Serum (30ml) A potent serum that can refine and transform your complexion Authentically sourced and independently curated b,"Water, Glycerin (Check packaging for full details)"
199,VT Cosmetics,VT Cica Daily Soothing Mask (30 PCs),Sheet Masks,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/vt-cica-daily-soothing-mask-30-pcs,The Skin Boutique Curates: VT Cica Daily Soothing Mask (30 PCs) Quick daily soothing care for tired and dry skin. Authentically sourced and independently curated by The Skin Boutique — your trusted de,"Water, Glycerin (Check packaging for full details)"
200,Soon Jung,ETUDE HOUSE Soon Jung 10 Panthensoside Cica Balm (50ml),Cream,R867.92,—,$21.00,R303.77,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/etude-house-soon-jung-10-panthensoside-cica-balm-50ml,"The Skin Boutique Curates: ETUDE HOUSE Soon Jung 10 Panthensoside Cica Balm (50ml) Triple intensive care to soothe irritated, dry skin. Authentically sourced and independently curated by The Skin Bout","Water / Aqua / Eau, Butylene Glycol, Panthenol, Squalane, Cetearyl Alcohol, 1,2-Hexanediol, Hydrogenated Poly(C6-14 Olefin), Phenyl Trimethicone, Diisostearyl Malate, Polyglyceryl-10 Stearate, Hydroxy"
201,iUNIK,iUNIK Beta-Glucan Power Moisture Serum (50ml),Serum,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/iunik-beta-glucan-power-moisture-serum-50ml,The Skin Boutique Curates: iUNIK Beta-Glucan Power Moisture Serum (50ml) A powerful and moisturizing serum to keep your skin hydrated. Authentically sourced and independently curated by The Skin Bouti,"Water, Glycerin (Check packaging for full details)"
202,Soon Jung,ETUDE HOUSE Soon Jung Hydro Barrier Cream (75ml),Cream,R826.59,—,$20.00,R289.31,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/etude-house-soon-jung-hydro-barrier-cream-75ml,"The Skin Boutique Curates: ETUDE HOUSE Soon Jung Hydro Barrier Cream (75ml) A lightweight moisturizer to deeply hydrate, calm and soothe skin, while replenishing skin moisture barrier. 2023 Version Au","Water / Aqua / Eau, Glycerin, Propanediol, Panthenol, Pentaerythrityl Tetraethylhexanoate, Hydrogenated Poly(C6-14 Olefin), 1,2-Hexanediol, Polymethylsilsesquioxane, Ammonium Acryloyldimethyltaurate/V"
203,Lululun,LULULUN Premium Sakura Face Mask,Sheet Masks,R206.65,—,$5.00,R72.33,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/lululun-premium-sakura-face-mask,The Skin Boutique Curates: LULULUN Premium Sakura Face Mask LULULUN Premium Sakura Face Mask features a delicate cherry blossom scent that evokes the arrival of spring while soothing skin that is pron,"Water, Glycerin (Check packaging for full details)"
204,Lululun,LULULUN Premium Kyoto Green Tea Sheet Mask - Kyoto Limited Release,Sheet Masks,R247.98,—,$6.00,R86.79,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/lululun-premium-kyoto-green-tea-sheet-mask-kyoto-limited-release-7-pcs-35-pcs,The Skin Boutique Curates: LULULUN Premium Kyoto Green Tea Sheet Mask - Kyoto Limited Release Limited edition Kyoto Tea Flower Fragrance from the Traveling Lululun series. Authentically sourced and in,"Water, glycerin, BG, panthenol, hydroxypropyltrimonium hyaluronate, tea leaf extract, tea flower extract, tea seed oil, silkworm cocoon extract, loquat leaf extract, PEG-40 hydrogenated castor oil, xa"
205,VT Cosmetics,VT Collagen Reedle Shot 100 2-Step Hydrogel Mask (1 PC),Sheet Masks,R289.31,—,$7.00,R101.26,Tier C (Long-tail),65%,No local comp,https://kiyoko.com/products/vt-collagen-reedle-shot-100-2-step-hydrogel-mask-1-pc,"The Skin Boutique Curates: VT Collagen Reedle Shot 100 2-Step Hydrogel Mask (1 PC) The mask combo with Cica Reti-A, which moisturizes and soothes the skin Authentically sourced and independently curat","Water, Glycerin (Check packaging for full details)"
