Brand,Product Name,SKU / ID,Image Link,Target Sale Price (ZAR)
"BCL","BCL Saborino Morning Facial Sheet Mask Moisture Rich (30pcs)","BCL-8478619402476","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Screenshot_2024-05-24_at_9.31.51_PM.png?v=1716600722",323
"BCL","BCL Saborino Morning Facial Sheet Mask (32pcs)","BCL-8478618386668","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/BCL_Saborino_Morning_Facial_Sheet_Mask__32pcs_-removebg-preview.png?v=1766163501",323
"BCL","BCL Saborino Good Night Facial Sheet Mask (30pcs)","BCL-8478599086316","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Untitleddesign_2.png?v=1716601086",323
"Biodance","Rejuvenating Caviar PDRN Real Deep Mask","BIODANCE-9134907064556","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Biodance_Rejuvenating_PDRN_Real_Deep_Mask.png?v=1769205309",150
"Biodance","Collagen Gel Toner Pads (60 PCs)","BIODANCE-9120823640300","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Collagen_Gel_Toner_Pad-nobg-preview.png?v=1768322592",695
"Biodance","Sea Kelp Gel Toner Pads (60 PCs)","BIODANCE-9120821477612","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Sea_Kelp_Gel_Toner_Pads_Hero_Image_1200x1200_e435cc33-14e4-4647-b8d7-8e34bfa01cd0.png?v=1768321901",690
"Celimax","celimax Pore+Dark Spot Brightening Pad (40pcs)","CELIMAX-8699539783916","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Abib_Calming_Pads_1.png?v=1754420895",474
"Celimax","celimax Pore+Dark Spot Brightening Cream (35ml)","CELIMAX-9085294313708","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Celimax_Pore_Dark_Spot_Cream_PNG.png?v=1769697353",474
"Celimax","celimax Pore+Dark Spot Brightening Pad","CELIMAX-9085293494508","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/Celimax_Pore_Dark_Spot_Brightening_Pad.png?v=1764258528",379
"Celimax","celimax Pore+Dark Spot Brightening Serum (30ml)","CELIMAX-9085292806380","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/sy0162.png?v=1764257365",474
"COSRX","COSRX Propolis Nourishing Magnet Sheet Mask (1 PC)","COSRX-9140000000000","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/propolis-nourishing-magnet-sheet-mask-2-Photoroom.png?v=1755271471",300
"COSRX","COSRX Hydrium Triple Hyaluronic Moisture Ampoule (40ml)","COSRX-9140000000001","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Hydrium_Triple_Hyaluronic_Moisture_Ampoule_40ml.png?v=1772995520",607
"COSRX","COSRX The 6 Peptide Skin Booster Serum (150ml)","COSRX-9140000000002","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRXThe6PeptideSkinBoosterSerum.png?v=1728923613",592
"COSRX","COSRX Hydrium Green Tea Aqua Soothing Gel Cream (50ml)","COSRX-9140000000003","https://cdn.shopify.com/s/files/1/0515/4589/9157/files/COSRX_Hydrium_Green_Tea_Aqua_Soothing_Gel_Cream__50ml_PNG_f21221c8-ed48-4bea-9ecd-0237a5efe904.png?v=1769697013",592
